id,author,birthDate,deathDate,gender,birthPlace,last,first
148,夏目漱石,1867-02-09,1916-12-09,male,喜久井町,Natsume,Soseki
81,宮沢賢治,1896-08-27,1933-09-21,male,花巻川口町,Miyazawa,Kenji
35,太宰治,1909-06-19,1948-06-13,male,金木町,Dazai,Osamu
119,中島敦,1909-05-05,1942-12-04,male,四谷区,Nakajima,Atsushi
96,夢野久作,1889-01-04,1936-03-11,male,福岡市,Yumeno,Kyusaku
879,芥川竜之介,1892-03-01,1927-07-24,male,Tokyo,Akutagawa,Ryunosuke
196,鴨長明,1153-00-00,1216-00-00,male,平安京,Kamo,Chomei
74,梶井基次郎,1901-02-17,1932-03-24,male,大阪市,Kajii,Motojiro
296,福沢諭吉,1835-01-10,1901-02-03,male,Dōjima,Fukuzawa,Yukichi
156,小林多喜二,1903-10-13,1933-02-20,male,大館市,Kobayashi,Takiji
31,葉山嘉樹,1894-03-12,1945-10-18,male,豊津町,Hayama,Yoshiki
129,森鴎外,1862-02-17,1922-07-09,male,Tsuwano,Mori,Ogai
121,新美南吉,1913-07-30,1943-03-22,male,半田市,Niimi,Nankichi
1162,秋田滋,1908-07-05,1943-10-15,,,Akita,Shigeru
1168,高村光太郎,1883-03-13,1956-04-02,male,下谷区,Takamura,Kotaro
153,石川啄木,1886-02-20,1912-04-13,male,盛岡市,Ishikawa,Takuboku
155,紀貫之,870-00-00,1902-08-02,male,平安京,Kino,Tsurayuki
1095,坂口安吾,1906-10-20,1955-02-17,male,新潟市,Sakaguchi,Ango
231,伊丹万作,1900-01-02,1946-09-21,male,松山市,Itami,Mansaku
67,萩原朔太郎,1886-11-01,1942-05-11,male,北曲輪町,Hagiwara,Sakutaro
1030,堀辰雄,1904-12-28,1953-05-28,male,平河町,Hori,Tatsuo
26,中原中也,1907-04-29,1937-10-22,male,下宇野令村,Nakahara,Chuya
914,ディケンズチャールズ,1812-02-07,1870-06-09,male,Landport,Dickens,Charles
1128,文部省,,,unknown,,Monbusho,
1566,柳田国男,1875-07-31,1962-08-08,male,Fukusaki,Yanagita,Kunio
1235,カフカフランツ,1883-07-03,1924-06-03,male,Prague,Kafka,Franz
183,牧野信一,1896-11-12,1936-03-24,male,小田原町,Makino,Shin'ichi
64,樋口一葉,1872-05-02,1896-11-23,female,東京,Higuchi,Ichiyo
1092,グリムヴィルヘルム・カール,1786-02-24,1859-12-16,male,Hanau,Grimm,Wilhelm Carl
1091,グリムヤーコプ・ルートヴィッヒ・カール,1785-01-04,1863-09-20,male,Hanau,Grimm,Jacob Ludwig Carl
1124,魯迅,1881-09-25,1936-10-19,male,Shaoxing,Lu Xun,
125,小栗虫太郎,1901-03-14,1946-02-10,male,東京都,Oguri,Mushitaro
19,アンデルセンハンス・クリスチャン,1805-04-02,1875-08-04,male,Odense,Andersen,Hans Christian
94,ポーエドガー・アラン,1809-01-19,1849-10-07,male,Boston,Poe,Edgar Allan
912,スウィフトジョナサン,1667-11-30,1745-10-19,male,Dublin,Swift,Jonathan
158,島崎藤村,1872-03-25,1943-08-22,male,馬籠宿,Shimazaki,Toson
214,田山花袋,1872-01-22,1930-05-13,male,館林市,Tayama,Katai
9,ドイルアーサー・コナン,1859-05-22,1930-07-07,male,Edinburgh,Doyle,Arthur Conan
1779,江戸川乱歩,1894-10-21,1965-07-28,male,名張市,Edogawa,Ranpo
888,スティーブンソンロバート・ルイス,1850-11-13,1894-12-03,male,Edinburgh,Stevenson,Robert Louis
58,伊藤左千夫,1864-09-18,1913-07-30,male,上総国,Ito,Sachio
329,楠山正雄,1884-11-04,1950-11-26,male,東京都,Kusuyama,Masao
91,尾崎紅葉,1868-01-10,1903-10-30,male,芝,Ozaki,Koyo
363,ドストエフスキーフィヨードル・ミハイロヴィチ,1821-11-11,1881-02-09,male,Mariinsky Hospital for the Poor,Dostoevskii,Fedor Mikhailovich
25,有島武郎,1878-03-04,1923-06-09,male,東京,Arishima,Takeo
908,坂本竜馬,1836-01-03,1867-12-10,male,Tosa Province,Sakamoto,Ryoma
1518,太安万侶,,0723-08-15,male,,oono,yasumaro
1519,稗田阿礼,0700-01-01,0800-01-01,male,,hieda,are
42,寺田寅彦,1878-11-28,1935-12-31,male,麹町区,Terada,Torahiko
52,紫式部,0973-00-00,1014-00-00,female,Heian-kyō,Murasaki Shikibu,
50,泉鏡花,1873-11-04,1939-09-07,male,金沢市,Izumi,Kyoka
65,九鬼周造,1888-02-15,1941-05-06,male,東京,Kuki,Shuzo
107,鈴木三重吉,1882-09-29,1936-06-27,male,広島市,Suzuki,Miekichi
195,尾崎放哉,1885-01-20,1926-04-07,male,鳥取県,Ozaki,Hosai
38,国木田独歩,1871-08-30,1908-06-23,male,銚子市,Kunikida,Doppo
218,三木清,1897-01-05,1945-09-26,male,兵庫県,Miki,Kiyoshi
6,二葉亭四迷,1864-04-04,1909-05-10,male,合羽坂,Futabatei,Shimei
83,菊池寛,1888-12-26,1948-03-06,male,高松市,Kikuchi,Kan
230,石原莞爾,1889-01-18,1949-08-15,male,鶴岡市,Ishiwara,Kanji
361,トルストイレオ,1828-00-00,1910-00-00,male,Yasnaya Polyana,Tolstoi,Lev
1383,谷崎潤一郎,1886-07-24,1965-07-30,male,日本橋区,Tanizaki,Jun'ichiro
20,渡辺温,1902-08-26,1930-02-10,male,北海道,Watanabe,On
1090,オルコットルイーザ・メイ,1832-11-29,1888-03-06,female,Germantown,Alcott,Louisa May
1475,小川未明,1882-04-07,1961-05-11,male,新潟県,Ogawa,Mimei
258,小泉八雲,1850-06-27,1904-09-26,male,Lefkada,Koizumi,Yakumo
1347,岡倉覚三,1863-02-14,1913-09-02,male,Yokohama,Okakura,Kakuzo
238,岡倉天心,1863-02-14,1913-09-02,male,横浜市,Okakura,Tenshin
179,黒岩涙香,1862-11-20,1920-10-06,male,川北村,Kuroiwa,Ruiko
961,ダンテアリギエリ,1265-00-00,1321-00-00,male,Florence,Dante,Alighieri
1234,愛知敬一,1880-07-25,1923-06-23,male,東京,Aichi,Keiichi
1097,下村湖人,1884-10-03,1955-04-20,male,,Shimomura,Kojin
51,幸田露伴,1867-08-20,1947-07-30,male,東京,Koda,Rohan
924,永井隆,1908-02-03,1951-05-01,unknown,,Nagai,Takashi
235,上田敏,1874-10-30,1916-07-09,male,Tokyo,Ueda,Bin
1176,シェリーメアリー・ウォルストンクラフト,1797-08-30,1851-02-01,female,Somers Town,Shelley,Mary Wollstonecraft
168,横光利一,1898-03-17,1947-12-30,male,会津若松市,Yokomitsu,Riichi
160,海野十三,1897-12-26,1949-05-17,male,徳島市,Unno,Juza
280,徳冨蘆花,1868-12-08,1927-09-18,male,水俣市,Tokutomi,Roka
1121,ルブランモーリス,1864-11-11,1941-11-06,male,Rouen,Leblanc,Maurice
1094,ユゴーヴィクトル,1802-02-26,1885-05-22,male,Besançon,Hugo,Victor
269,高神覚昇,1894-00-00,1948-00-00,,,Takagami,Kakusho
13,八木重吉,1898-02-09,1927-10-26,male,多摩地域,Yagi,Jukichi
264,シェークスピアウィリアム,1546-00-00,1616-00-00,male,Stratford-upon-Avon,Shakespeare,William
1529,作者不詳,,,unknown,,Sakushafusho,
575,佐藤紅緑,1874-07-06,1949-06-03,male,親方町,Sato,Koroku
933,折口信夫,1887-02-11,1953-09-03,male,大阪市,Orikuchi,Shinobu
140,テニソンアルフレッド,1809-08-06,1892-10-06,male,Somersby,Tennyson,Alfred
1048,アミーチスエドモンド・デ,1846-10-31,1908-03-11,male,Oneglia,Amicis,Edmondo De
40,織田作之助,1913-10-26,1947-01-10,male,大阪市,Oda,Sakunosuke
76,岡本かの子,1889-03-01,1939-02-18,female,赤坂,Okamoto,Kanoko
245,加藤文太郎,1905-03-11,1936-01-05,male,兵庫県,Kato,Buntaro
1120,須川邦彦,1880-00-00,1949-00-00,male,,Sugawa,Kunihiko
1562,吉川英治,1892-08-11,1962-09-07,male,横浜市,Yoshikawa,Eiji
288,ハイヤームオマル,1048-00-00,1131-00-00,male,Nishapur,Khayyam,Umar
1045,バーネットフランシス・ホジソン・エリザ,1849-11-24,1924-10-29,female,Manchester,Burnett,Frances Eliza Hodgson
182,西田幾多郎,1870-06-17,1945-06-07,male,かほく市,Nishida,Kitaro
291,林芙美子,1903-12-31,1951-06-28,female,下関市,Hayashi,Fumiko
305,正岡子規,1867-10-14,1902-09-19,male,松山市,Masaoka,Shiki
106,北原白秋,1885-01-25,1942-11-02,male,南関町,Kitahara,Hakushu
5,ツルゲーネフイワン,1818-11-09,1883-09-03,male,Oryol,Turgenev,Ivan
885,与謝野晶子,1878-12-07,1942-05-29,female,堺市,Yosano,Akiko
283,中里介山,1885-04-04,1944-04-28,male,羽村市,Nakazato,Kaizan
1296,ランボージャン・ニコラ・アルチュール,1854-10-20,1891-11-10,male,Charleville,Rimbaud,Jean Nicolas Arthur
1266,牧野富太郎,1862-05-22,1957-01-18,male,佐川町,Makino,Tomitaro
1134,ペローシャルル,1628-01-12,1703-05-16,male,Paris,Perrault,Charles
1059,斎藤茂吉,1882-5-14,1953-2-25,male,上山市,Saito,Mokichi
250,河上肇,1879-10-20,1946-01-30,male,山口県,Kawakami,Hajime
1053,峠三吉,1917-02-19,1953-03-10,male,大阪市,Toge,Sankichi
1404,河口慧海,1866-02-26,1945-02-24,male,堺市,Kwaguchi,Ekai
118,長塚節,1879-04-03,1915-02-08,male,茨城県,Nagatsuka,Takashi
1072,和田万吉,1865-10-07,1934-11-21,male,大垣市,Wada,Mankichi
1395,和辻哲郎,1889-03-01,1960-12-26,male,姫路市,Watsuji,Tetsuro
1044,ド・ラ・ラメーマリー・ルイーズ,1839-01-01,1908-01-25,female,Bury St Edmunds,de la Ramee,Marie Louise
126,田中英光,1913-01-10,1949-11-03,male,東京,Tanaka,Hidemitsu
14,村山槐多,1896-09-15,1919-02-20,male,額田郡,Murayama,Kaita
256,倉田百三,1891-02-23,1943-02-12,male,庄原市,Kurata,Hyakuzo
1341,永井荷風,1879-12-03,1959-04-30,male,東京,Nagai,Kafu
293,原民喜,1905-11-15,1951-03-13,male,広島市,Hara,Tamiki
372,桑原隲蔵,1871-01-27,1931-05-24,male,敦賀市,Kuwabara,Jitsuzo
34,内村鑑三,1861-03-26,1930-03-28,male,小石川,Uchimura,Kanzo
1028,イプセンヘンリック,1828-03-20,1906-05-23,male,Stockmanngården,Ibsen,Henrik
311,宮本百合子,1899-02-13,1951-01-21,female,小石川区,Miyamoto,Yuriko
82,岡本綺堂,1872-11-15,1939-03-01,male,高輪,Okamoto,Kido
1245,会津八一,1881-08-01,1956-11-21,male,新潟市,Aizu,Yaichi
1029,デカルトルネ,1596-00-00,1650-00-00,male,Descartes,Descartes,Rene
1025,ゲーテヨハン・ヴォルフガング・フォン,1749-08-28,1832-03-22,male,Frankfurt,Goethe,Johann Wolfgang von
1403,北大路魯山人,1883-03-23,1959-12-21,male,京都市,Kitaoji,Rosanjin
93,南方熊楠,1867-05-18,1941-12-29,male,和歌山市,Minakata,Kumagusu
1034,浅野和三郎,1874-08,1937-02-03,male,源清田村 ( -1889),Asano,Wasaburo
1465,東健而,1889-00-00,1933-00-00,male,,Azuma,Kenji
146,種田山頭火,1882-12-03,1940-10-11,male,防府市,Taneda,Santoka
1839,荒木光二郎,,,,,Araki,Kojiro
1264,榎本武揚,1836-10-05,1908-10-26,male,御徒町,Enomoto,Takeaki
354,勝海舟,1823-03-12,1899-01-19,male,両国,Katsu,Kaishu
535,桐生悠々,1873-05-20,1941-09-10,male,金沢市,Kiryu,Yuyu
1257,アーヴィングワシントン,1783-04-03,1859-11-28,male,New York City,Irving,Washington
718,新渡戸稲造,1862-09-01,1933-10-16,male,盛岡市,Nitobe,Inazo
903,モーパッサンギ・ド,1850-08-05,1893-07-06,male,Dieppe,Maupassant,Guy De
226,アレニウススヴァンテ,1859-02-19,1927-10-02,male,Wik Castle,Arrhenius,Svante
969,杉山萠円,1889-01-04,1936-03-11,,,Sugiyama,Hoen
124,小熊秀雄,1901-09-09,1940-11-20,male,小樽市,Oguma,Hideo
1155,チェーホフアントン,1860-01-17,1904-07-02,male,Taganrog,Chekhov,Anton
1843,アレンリリー・Ｌ,1867-12-30,1952-02-14,female,,Allen,Lily L.
216,直木三十五,1891-02-12,1934-02-24,male,大阪市,Naoki,Sanjugo
154,田中貢太郎,1880-03-02,1941-02-01,male,日本,Tanaka,Kotaro
279,徳冨健次郎,1868-12-08,1927-09-18,male,Minamata,Tokutomi,Kenjiro
997,北条民雄,1914-09-22,1937-12-05,male,京城府,Hojo,Tamio
1216,井原西鶴,1642-00-00,1693-09-09,male,中津村,Ihara,Saikaku
286,野口雨情,1882-05-29,1945-01-27,male,Isohara,Noguchi,Ujo
1579,室生犀星,1889-08-01,1962-03-26,male,金沢市,Murou,Saisei
1093,ロランロマン,1866-01-29,1944-12-30,male,Clamecy,Rolland,Romain
1189,ジェファーソントマス,1743-04-13,1826-07-04,male,Shadwell,Jefferson,Thomas
1430,ウェルズハーバート・ジョージ,1866-09-21,1946-08-13,male,Bromley,Wells,Herbert George
1320,西郷隆盛,1828-01-23,1877-09-24,male,加治屋町,Saigo,Takamori
57,福田英子,1865-11-22,1927-05-02,female,備前国,Fukuda,Hideko
1085,イエイツウィリアム・バトラー,1865-06-13,1939-01-28,male,Sandymount,Yeats,William Butler
1380,石川欣一,1895-03-17,1959-08-04,unknown,,Ishikawa,Kinichi
207,ゴーゴリニコライ,1809-03-12,1852-02-21,male,Velyki Sorochyntsi,Gogol,Nikolai
1528,日本国,,,unknown,,Nihonkoku,
1224,久生十蘭,1902-04-06,1957-10-06,male,函館市,Hisao,Juran
906,豊島与志雄,1890-11-27,1955-06-18,male,福岡県,Toyoshima,Yoshio
968,かぐつちみどり,1889-01-04,1936-03-11,,,Kagutsuchi,Midori
1351,池田蕉園,1886-05-13,1917-12-01,female,神田区,Ikeda,Shoen
351,増田雅子,1880-05-06,1946-09-02,,,Masuda,Masako
318,山川登美子,1879-07-19,1909-04-15,female,遠敷郡,Yamakawa,Tomiko
1099,ホーマー,,,unknown,,Homer,
1160,池田菊苗,1864-00-00,1936-05-03,male,京都市,Ikeda,Kikunae
1159,佐野昌一,1897-12-26,1949-05-17,male,Tokushima,Sano,Shoichi
1421,阿部次郎,1883-08-27,1959-10-20,male,,Abe,Jiro
11,立原道造,1914-07-30,1939-03-29,male,東京,Tachihara,Michizo
1869,山本周五郎,1903-06-22,1967-02-14,male,大月市,Yamamoto,Shugoro
827,森本薫,1912-06-04,1946-10-06,male,東淀川区,Morimoto,Kaoru
966,海若藍平,1889-01-04,1936-03-11,,,Kaijaku,Ranpei
1119,岩波茂雄,1881-08-27,1946-04-25,male,諏訪市,Iwanami,Shigeo
1569,中谷宇吉郎,1900-07-04,1962-04-11,male,加賀市,Nakaya,Ukichiro
1049,ファーブルジャン・アンリ,1823-12-23,1915-10-11,male,Saint-Léons,Fabre,Jean Henri
281,戸坂潤,1900-09-27,1945-08-09,male,東京,Tosaka,Jun
1734,石波杏,1982-00-00,,,,Ishinami,Kyo
157,北村透谷,1868-12-29,1894-05-16,male,小田原町,Kitamura,Tokoku
989,三遊亭円朝,1839-05-13,1900-08-11,male,Edo,San'yutei,Encho
1477,陳寿,233-00-00,297-00-00,male,Baxi Jun,Chen,Shou
1429,石原純,1881-1-15,1947-1-19,male,東京,Ishiwara,Atsushi
726,長谷川時雨,1879-10-01,1941-08-22,female,東京,Hasegawa,Shigure
1011,波多野精一,1877-07-21,1950-01-17,male,松本市,Hatano,Seiichi
886,泉鏡太郎,1873-11-04,1939-09-07,male,Kanazawa,Izumi,Kyotaro
981,巌谷小波,1870-07-04,1933-09-05,male,Kōjimachi-ku,Iwaya,Sazanami
136,山村暮鳥,1884-01-10,1924-12-08,male,長岡市,Yamamura,Bocho
261,幸徳秋水,1871-11-05,1911-01-24,male,中村市,Kotoku,Shusui
284,内藤湖南,1866-08-26,1934-06-26,male,毛馬内町,Naito,Konan
1875,壺井栄,1899-08-05,1967-06-23,female,小豆島町,Tsuboi,Sakae
649,田中正造,1841-12-15,1913-09-04,male,佐野市,Tanaka,Shozo
355,上村松園,1875-04-23,1949-08-27,female,京都市,Uemura,Shoen
1277,ガンジーマハトマ,1869-10-02,1948-01-30,male,Porbandar,Gandhi,Mahatma
1311,三好十郎,1902-04-21,1958-12-16,male,佐賀市,Miyoshi,Juro
259,小出楢重,1887-10-13,1931-02-13,male,大阪市,Koide,Narashige
190,大手拓次,1887-12-03,1934-04-18,male,,Ote,Takuji
506,河合栄治郎,1891-02-13,1944-02-15,male,東京都,Kawai,Eijiro
1749,三好達治,1900-08-23,1964-04-05,male,西区,Miyoshi,Tatsuji
1047,マロエクトール・アンリ,1830-05-20,1907-07-17,male,La Bouille,Malot,Hector Henri
1021,井上円了,1858-03-18,1919-06-06,male,来迎寺村,Inoue,Enryo
595,島田清次郎,1899-02-26,1930-04-29,male,白山市,Shimada,Seijiro
1052,久坂葉子,1931-03-27,1952-12-31,female,神戸市,Kusaka,Yoko
1541,高山毅,1911-08-01,1961-10-28,,,Takayama,Tsuyoshi
1558,古川緑波,1903-08-13,1961-01-16,male,Kōjimachi-ku,Furukawa,Roppa
23,徳田秋声,1872-02-01,1943-11-18,male,金沢市,Tokuda,Shusei
1312,木村荘八,1893-08-21,1958-11-18,male,東京都,Kimura,Shohachi
77,押川春浪,1876-03-21,1914-11-16,male,松山市,Oshikawa,Shunro
1416,田山録弥,1872-01-22,1930-05-13,male,Tatebayashi,Tayama,Rokuya
1398,高木貞治,1875-04-21,1960-02-28,male,春日村,Takagi,Teiji
1088,プーシキンアレクサンドル・セルゲーヴィチ,1799-05-26,1837-01-17,male,Moscow,Pushkin,Aleksandr Sergeevich
61,橋本進吉,1882-12-24,1945-01-30,male,敦賀市,Hashimoto,Shinkichi
1536,桂三木助,1902-03-28,1961-01-16,unknown,,Katsura,Mikisuke
169,大杉栄,1885-01-17,1923-09-16,male,丸亀市,Osugi,Sakae
1570,小倉金之助,1885-03-14,1962-10-21,male,山形県,ogura,kinnosuke
967,香倶土三鳥,1889-01-04,1936-03-11,,,Kagutsuchi,Midori
984,葛西善蔵,1887-01-16,1928-07-23,male,弘前市,Kasai,Zenzo
8,島木健作,1903-09-07,1945-08-17,male,札幌市,Shimaki,Kensaku
89,北一輝,1883-04-03,1937-08-19,male,加茂郡,Kita,Ikki
271,高山樗牛,1871-02-28,1902-12-24,male,鶴岡市,Takayama,Chogyu
1293,小野佐世男,1905-02-06,1954-02-01,male,横浜市,Ono,Saseo
227,生田春月,1892-03-12,1930-05-19,male,,Ikuta,Shungetsu
1520,柳宗悦,1889-03-21,1961-05-03,male,東京都,Yanagi,Muneyoshi
224,小泉節子,1868-02-04,1932-02-18,female,,Koizumi,Setsuko
301,穂積陳重,1855-08-23,1926-04-07,male,宇和島市,Hozumi,Nobushige
1156,ルナールジュール,1864-02-22,1910-05-22,male,Châlons-du-Maine,Renard,Jules
922,末弘厳太郎,1888-11-30,1951-09-11,male,山口県,Suehiro,Izutaro
1364,ニューコムシモン,1835-00-00,1909-00-00,male,Nova Scotia,Newcomb,Simon
1242,坪井正五郎,1863-02-22,1913-05-26,male,江戸,Tsuboi,Shogoro
1065,高田力,,1950-00-00,,,Takata,Tsutomu
1081,土井晩翠,1871-12-05,1952-10-19,male,仙台市,Doi,Bansui
1584,秋田雨雀,1883-01-30,1962-05-12,male,青森県,Akita,Ujyaku
1217,ヴァレリーポール,1871-10-30,1945-07-20,male,Sète,Valery,Paul
564,斎藤秀三郎,1866-02-16,1929-11-09,male,仙台市,Saito,Hidesaburo
416,伊藤野枝,1895-01-21,1923-09-16,female,福岡市,Ito,Noe
1581,正宗白鳥,1879-03-03,1962-10-28,male,備前市,Masamune,Hakucho
1695,飯田蛇笏,1885-04-26,1962-10-03,male,五成村,Iida,Dakotsu
1305,羽志主水,1884-06-03,1957-02-26,male,長野市,hashi,mondo
63,宮武外骨,1867-02-22,1955-07-28,male,讃岐国,Miyatake,Gaikotsu
270,高村光雲,1852-03-08,1934-10-10,male,Shitaya,Takamura,Koun
748,平田晋策,1904-03-06,1936-01-28,,,Hirata,Shinsaku
1310,高浜虚子,1874-02-22,1959-04-08,male,松山市,Takahama,Kyoshi
1331,秋月種樹,1833-11-28,1904-10-17,male,,Akizuki,Tanetatsu
1332,佐藤一斎,1772-11-14,1859-10-19,male,日本橋浜町,Sato,Issai
1166,中井正一,1900-02-14,1952-05-18,male,広島県,Nakai,Masakazu
1568,妹尾アキ夫,1892-03-04,1962-04-19,male,Tsuyama,Senoo,Akio
1313,正岡容,1904-12-20,1958-12-07,male,東京都,Masaoka,Iruru
1344,喜田貞吉,1871-07-11,1939-07-03,male,櫛渕町,Kita,Sadakichi
1648,土谷麓,1914-03-30,1962-09-03,,,Tsuchiya,Fumoto
340,ガールシンフセヴォロド・ミハイロヴィチ,1855-02-14,1888-04-05,,,Garshin,Vsevolod Mikhailvich
368,添田唖蝉坊,1872-12-25,1944-02-08,male,Kanagawa Prefecture,Soeda,Azenbo
1733,フリーマンリチャード オースティン,1862-04-11,1943-09-28,male,Marylebone,Freeman,Richard Austin
1420,中山太郎,1876-11-13,1947-06-13,male,大阪市,Nakayama,Taro
1668,西東三鬼,1900-05-15,1962-04-01,male,岡山県,Saito,Sanki
1125,井上紅梅,1881-00-00,1950-00-00,male,,Inoue,Kobai
1263,服部之総,1901-09-24,1956-03-04,male,,Hattori,Shiso
2034,井上基志,,,,,Inoue,Motoshi
843,山田美妙,1868-08-25,1910-10-24,male,神田,Yamada,Bimyo
255,国枝史郎,1887-10-10,1943-04-08,male,,Kunieda,Shiro
150,薄田泣菫,1877-05-19,1945-10-09,male,岡山県,Susukida,Kyukin
1248,佐藤垢石,1888-06-18,1956-07-04,male,,Sato,Koseki
1068,釈迢空,1887-02-11,1953-09-03,male,Osaka,Shaku,Choku
1499,外村繁,1902-12-23,1961-07-28,male,東近江市,Tonomura,Shigeru
905,ホーソーンナサニエル,1804-07-04,1864-05-19,male,Salem,Hawthorne,Nathaniel
1488,火野葦平,1907-01-25,1960-01-24,male,北九州市,Hino,Ashihei
310,三上於菟吉,1891-02-04,1944-02-07,male,埼玉県,Mikami,Otokichi
1349,武田祐吉,1886-05-05,1958-03-29,male,東京,Takeda,Yukichi
1468,賀川豊彦,1888-07-10,1960-04-23,male,神戸市,Kagawa,Toyohiko
1143,西尾正,1907-12-12,1949-03-10,male,東京都,Nishio,Tadashi
